day,slot,format,hook,prompt,cta,primary_metric
1,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What made you laugh the most today?,Save this for tonight,Saves and qualified profile visits
1,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What made you laugh the most today?,Try tonight's question,App starts and first memories
1,evening,X / Instagram text,Tonight's question,What made you laugh the most today?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
2,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,When did you feel brave today?,Save this for tonight,Saves and qualified profile visits
2,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,When did you feel brave today?,Try tonight's question,App starts and first memories
2,evening,X / Instagram text,Tonight's question,When did you feel brave today?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
3,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,"If our family invented a holiday, what would we celebrate?",Save this for tonight,Saves and qualified profile visits
3,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,"If our family invented a holiday, what would we celebrate?",Try tonight's question,App starts and first memories
3,evening,X / Instagram text,Tonight's question,"If our family invented a holiday, what would we celebrate?","Ask it, then stop talking and listen.",Replies and next-day repeat saves
4,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What ordinary moment from today would you like to keep?,Save this for tonight,Saves and qualified profile visits
4,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What ordinary moment from today would you like to keep?,Try tonight's question,App starts and first memories
4,evening,X / Instagram text,Tonight's question,What ordinary moment from today would you like to keep?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
5,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,"If your feelings were weather, what was today like?",Save this for tonight,Saves and qualified profile visits
5,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,"If your feelings were weather, what was today like?",Try tonight's question,App starts and first memories
5,evening,X / Instagram text,Tonight's question,"If your feelings were weather, what was today like?","Ask it, then stop talking and listen.",Replies and next-day repeat saves
6,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What do adults sometimes misunderstand about kids your age?,Save this for tonight,Saves and qualified profile visits
6,afternoon,TikTok / Reels product demo,Two minutes. One real answer. No full journal.,What do adults sometimes misunderstand about kids your age?,Try tonight's question,App starts and first memories
6,evening,X / Instagram text,Tonight's question,What do adults sometimes misunderstand about kids your age?,"Ask it, then stop talking and listen.",Replies and next-day repeat saves
7,morning,Instagram carousel / TikTok slideshow,Stop asking how was school. Ask this instead.,What family tradition should we keep forever?,Save this for tonight,Saves and qualified profile visits
